"","player","pos","age","tm","g","gs","mp","fg","fga","fgpercent","x3p","x3pa","x3ppercent","x2p","x2pa","x2ppercent","ft","fta","ftpercent","orb","drb","trb","ast","stl","blk","tov","pf","pts","ortg","drtg","ts","od","div"
"260","Otto Porter Jr.","PF",28,"GSW",63,15,1396,6.7,14.5,0.464,2.8,7.5,0.37,3.9,7,0.565,1.7,2.1,0.803,3,9.6,12.6,3.3,2.4,1,1.3,2.9,18,121,104,0.58350622406639,1.16346153846154,"P"
"261","Bobby Portis","C",26,"MIL",72,59,2028,9.9,20.6,0.479,3.1,8,0.393,6.7,12.6,0.533,2,2.7,0.752,4.3,11.3,15.6,2,1.3,1.2,2.1,4.1,24.9,115,110,0.571415458050303,1.04545454545455,"C"
"262","Kristaps Porziņģis","PF",26,"TOT",51,51,1481,11.9,25.9,0.459,2.6,8.5,0.31,9.3,17.4,0.532,8.4,9.7,0.867,3.4,10.4,13.9,4,1.3,2.8,2.7,4.6,34.8,116,107,0.576770087509944,1.08411214953271,NA
"263","Dwight Powell","C",30,"DAL",82,71,1798,7.5,11.2,0.671,0.4,1,0.351,7.2,10.2,0.703,4.6,5.9,0.783,4.8,6.5,11.3,2.7,1,1.1,1.8,6.2,20.1,142,110,0.728472020875616,1.29090909090909,"SW"
"264","Norman Powell","SF",28,"TOT",45,41,1458,9.4,20.3,0.461,3.6,8.5,0.419,5.8,11.8,0.491,6.3,7.8,0.811,0.7,4.2,4.9,3.2,1.4,0.7,2.3,3.6,28.6,116,119,0.602561941682117,0.974789915966386,NA
"265","Joshua Primo","SF",19,"SAS",50,16,965,5,13.4,0.374,2.1,6.8,0.307,2.9,6.6,0.444,2.2,2.9,0.746,1.6,4,5.6,4,1,1.1,2.8,3.9,14.3,96,115,0.487189970019079,0.834782608695652,"SW"
"266","Taurean Prince","PF",27,"MIN",69,8,1177,7.2,15.8,0.454,3.5,9.3,0.376,3.7,6.5,0.565,2.5,3.3,0.756,1.1,6,7,2.7,1.9,0.9,2.1,4.7,20.3,112,112,0.588337584048226,1,"NW"
"267","Payton Pritchard","PG",24,"BOS",71,2,1001,7.9,18.5,0.429,5,12.2,0.412,2.9,6.4,0.461,1,1,1,1.6,5.1,6.7,6.9,1.2,0.3,2,3,21.9,120,110,0.578141499472017,1.09090909090909,"A"
"268","Immanuel Quickley","PG",22,"NYK",78,3,1802,7.9,20.1,0.392,3.8,11,0.346,4.1,9.1,0.448,4.9,5.6,0.881,0.9,6,6.9,7.6,1.5,0.1,2.7,4.6,24.5,114,112,0.542900195000886,1.01785714285714,"A"
"269","Julius Randle","PF",27,"NYK",72,72,2544,10.1,24.5,0.411,2.4,7.7,0.308,7.7,16.8,0.458,6,7.9,0.756,2.5,11.6,14.1,7.3,1,0.8,4.8,4,28.5,102,109,0.509365170145839,0.935779816513762,"A"
"270","Austin Reaves","SG",23,"LAL",61,19,1418,4.9,10.7,0.459,1.8,5.6,0.317,3.1,5.1,0.616,3.3,4,0.839,1.5,5,6.5,3.7,1,0.7,1.4,2.9,15,123,116,0.601926163723917,1.06034482758621,"P"
"271","Cam Reddish","SF",22,"TOT",49,7,1012,8,19.9,0.404,3.2,9,0.359,4.8,10.9,0.442,4.9,5.5,0.902,1.2,3.9,5.1,2.3,2.3,0.7,2.8,2.9,24.2,105,114,0.542114695340502,0.921052631578947,NA
"272","Davon Reed","SG",26,"DEN",48,5,668,5.9,11.8,0.503,2.7,6.3,0.43,3.2,5.5,0.587,0.7,1.1,0.667,1,6.9,7.9,3.9,1.8,0.7,1.2,4.6,15.3,123,112,0.6227613155324,1.09821428571429,"NW"
"273","Naz Reid","C",22,"MIN",77,6,1215,9.1,18.6,0.489,2.2,6.5,0.343,6.9,12.1,0.568,4.5,5.8,0.765,4,7.8,11.8,2.8,1.6,2.8,3.2,6.7,24.9,113,109,0.588596822995461,1.03669724770642,"NW"
"274","Nick Richards","C",24,"CHO",50,5,367,7.8,11.8,0.667,0,0,NA,7.8,11.8,0.667,3.9,5.6,0.698,4.4,6.8,11.2,1.7,1.2,2.7,3.1,6.7,19.6,122,113,0.687044307347168,1.07964601769911,"SE"
"275","Josh Richardson","SG",28,"TOT",65,7,1600,7.2,16.4,0.438,3.1,7.6,0.415,4.1,8.8,0.458,2.9,3.3,0.889,1.3,4.4,5.7,3.5,1.7,0.9,2,3.6,20.4,113,110,0.571364552991262,1.02727272727273,NA
"276","Austin Rivers","SG",29,"DEN",67,18,1480,4.8,11.6,0.417,2.6,7.7,0.342,2.2,3.9,0.563,1.1,1.5,0.727,0.6,3.1,3.8,3,1.7,0.2,1.8,4,13.4,104,115,0.546492659053834,0.904347826086956,"NW"
"277","Duncan Robinson","SG",27,"MIA",79,68,2043,7.1,17.8,0.399,5.7,15.3,0.372,1.4,2.5,0.569,1.2,1.5,0.836,0.6,4.4,5,3.2,1,0.3,1.5,4.9,21.1,113,112,0.571505958829903,1.00892857142857,"SE"
"278","Mitchell Robinson","C",23,"NYK",72,62,1848,7.1,9.3,0.761,0,0,NA,7.1,9.3,0.761,2.4,4.9,0.486,8,8.7,16.7,1,1.6,3.6,1.6,5.3,16.5,143,106,0.720146648044693,1.34905660377358,"A"
"279","Jeremiah Robinson-Earl","C",21,"OKC",49,36,1087,6,14.5,0.414,2.6,7.4,0.352,3.4,7.1,0.478,1.8,2.4,0.741,3.4,8.9,12.3,2.2,1.3,0.7,1.7,3.4,16.4,108,113,0.527127796348676,0.955752212389381,"NW"
"280","Isaiah Roby","PF",23,"OKC",45,28,948,8.5,16.6,0.514,2.3,5.1,0.444,6.3,11.5,0.545,4,6,0.672,3.9,7.3,11.1,3.6,1.8,1.7,2.2,5.6,23.3,120,111,0.605509355509355,1.08108108108108,"NW"
"281","Terrence Ross","SG",30,"ORL",63,0,1448,7.3,18.5,0.397,2.6,8.8,0.292,4.8,9.7,0.493,3.7,4.3,0.862,0.7,4.7,5.4,3.9,0.9,0.4,2.5,2.3,21,100,116,0.514907806983131,0.862068965517241,"SE"
"282","Terry Rozier","SG",27,"CHO",73,73,2458,10.1,22.8,0.444,4.3,11.6,0.374,5.8,11.2,0.516,2.9,3.4,0.852,1.1,5.1,6.1,6.4,1.8,0.5,1.9,2.3,27.5,117,115,0.565936779716826,1.01739130434783,"SE"
"283","D'Angelo Russell","PG",25,"MIN",65,65,2077,9.2,22.3,0.411,4,11.9,0.34,5.2,10.5,0.492,4.5,5.5,0.825,0.6,4.4,4.9,10.5,1.4,0.5,3.8,3,26.9,112,115,0.544093851132686,0.973913043478261,"NW"
"284","Domantas Sabonis","PF",25,"TOT",62,61,2136,10.1,17.6,0.573,0.9,2.9,0.312,9.2,14.8,0.623,5.6,7.6,0.741,4.6,12.6,17.2,7.4,1.3,0.6,4.5,4.6,26.7,121,113,0.637414056531703,1.07079646017699,NA
"285","Tomáš Satoranský","SG",30,"TOT",55,13,906,3.9,10.4,0.377,0.6,2.9,0.208,3.3,7.5,0.442,2.3,2.9,0.796,1.5,5.4,6.9,10,1.6,0.3,2.5,3.9,10.8,109,115,0.462487153134635,0.947826086956522,NA
"286","Dennis Schröder","SG",28,"TOT",64,29,1837,8.4,19.4,0.431,2.3,6.7,0.344,6.1,12.7,0.477,4.2,4.9,0.853,0.9,4.8,5.7,7.9,1.4,0.2,3.8,4.1,23.2,107,112,0.538133234366302,0.955357142857143,NA
"287","Alperen Şengün","C",19,"HOU",72,13,1489,8,16.8,0.474,0.9,3.7,0.248,7,13,0.539,5.3,7.4,0.711,4.4,8.2,12.6,5.9,1.9,2.2,4.6,6.8,22.1,107,113,0.550957319505385,0.946902654867257,"SW"
"288","Landry Shamet","SG",24,"PHO",69,14,1437,6.4,16.2,0.394,4.1,11.2,0.368,2.3,5.1,0.45,2.3,2.7,0.84,0.5,3.7,4.2,3.6,0.9,0.3,1.4,3.1,19.2,111,112,0.552104899930987,0.991071428571429,NA
"289","Pascal Siakam","PF",27,"TOR",68,68,2578,11.6,23.4,0.494,1.5,4.2,0.344,10.1,19.2,0.527,5.5,7.3,0.749,2.5,8.8,11.2,7,1.6,0.8,3.5,4.4,30.1,116,110,0.565534345408087,1.05454545454545,"A"
"290","Anfernee Simons","SG",22,"POR",57,30,1681,10.3,23.2,0.443,5.2,12.8,0.405,5.1,10.3,0.49,3,3.4,0.888,0.8,3.6,4.4,6.4,0.9,0.2,3.3,3.2,28.7,112,121,0.581065759637188,0.925619834710744,"NW"
"291","Marcus Smart","PG",27,"BOS",71,71,2296,6.5,15.5,0.418,2.6,7.8,0.331,3.9,7.7,0.506,3.1,3.9,0.793,0.9,4.9,5.8,9,2.6,0.4,3.4,3.5,18.6,110,107,0.540195167286245,1.02803738317757,"A"
"292","Ish Smith","PG",33,"TOT",65,1,1126,8,18.6,0.43,1.1,2.9,0.373,6.9,15.7,0.441,0.6,1,0.625,1.1,5,6.1,10.6,2,1,3.4,3.4,17.8,101,114,0.467436974789916,0.885964912280702,NA
"293","Jalen Smith","PF",21,"TOT",51,8,925,9.3,18.4,0.503,2.1,6.4,0.328,7.1,12,0.596,4.1,5.4,0.765,5.3,10.8,16.1,1.3,0.8,2.2,2.2,5,24.7,119,111,0.594435887562572,1.07207207207207,NA
"294","Tony Snell","SG",30,"TOT",53,12,823,4.1,10.2,0.404,2.7,7.6,0.352,1.4,2.6,0.558,0.2,0.2,1,1,5.2,6.1,1.7,1,0.5,1.1,4.2,11.1,106,119,0.539463452566097,0.890756302521008,NA
"295","Lance Stephenson","PG",31,"TOT",46,1,814,8.8,19.4,0.455,1.6,5.4,0.3,7.2,14,0.515,3.8,4.8,0.788,0.7,6.9,7.6,9.9,1.4,0.2,4.3,5.8,23.1,107,117,0.536909631833395,0.914529914529914,NA
"296","Lamar Stevens","PF",24,"CLE",63,13,1015,7.7,15.7,0.489,0.9,3.2,0.277,6.8,12.5,0.543,2.6,3.7,0.707,2.3,5.8,8.1,2.2,1.5,0.9,2,5.2,18.8,107,110,0.542474607571561,0.972727272727273,"C"
"297","Isaiah Stewart","C",20,"DET",71,71,1816,6.7,13.2,0.51,0.4,1.2,0.326,6.3,11.9,0.529,2,2.8,0.718,6.1,10.5,16.6,2.2,0.6,2.1,2.3,5.7,15.8,113,112,0.54739467849224,1.00892857142857,"C"
"298","Max Strus","SF",25,"MIA",68,16,1587,7.8,17.8,0.441,5.7,13.9,0.41,2.1,3.8,0.557,1.3,1.7,0.792,0.8,5.6,6.4,2.9,0.9,0.5,1.8,3.7,22.7,116,112,0.611925814103946,1.03571428571429,"SE"
"299","Jalen Suggs","PG",20,"ORL",48,45,1307,7.3,20.3,0.361,1.6,7.3,0.214,5.8,13,0.443,4.7,6,0.773,1,5.4,6.3,7.7,2.2,0.7,5.3,5.3,20.9,88,112,0.455536181342633,0.785714285714286,"SE"
"300","Jae'Sean Tate","PF",26,"HOU",78,77,2056,8.4,16.9,0.498,1.5,4.7,0.312,6.9,12.2,0.569,3,4.3,0.707,3.1,6.6,9.7,5.1,1.7,0.9,3.2,6.6,21.3,111,116,0.566730523627075,0.956896551724138,"SW"
"301","Jayson Tatum","SF",23,"BOS",76,76,2731,12.9,28.5,0.453,4.2,11.8,0.353,8.7,16.6,0.524,7.3,8.5,0.853,1.5,9.5,11.1,6.1,1.4,0.9,3.9,3.2,37.2,113,106,0.576923076923077,1.06603773584906,"A"
"302","Garrett Temple","SG",35,"NOP",59,16,1098,5,13.3,0.376,2.7,8.3,0.319,2.3,4.9,0.473,1.3,1.8,0.683,1.3,5.1,6.4,3.3,1.9,1,1.9,3.6,13.9,101,113,0.493187624183934,0.893805309734513,"SW"
"303","Daniel Theis","C",29,"TOT",47,27,977,7.5,14.4,0.519,1.6,5.3,0.308,5.8,9.1,0.641,2.4,3.6,0.681,2.9,8.4,11.3,2,1,1.5,2.3,5.5,19,113,112,0.594344344344344,1.00892857142857,NA
"304","Cam Thomas","SG",20,"BRK",67,2,1176,9,20.7,0.433,1.9,7.2,0.27,7,13.6,0.52,3.6,4.3,0.829,0.7,6,6.6,3.2,1.4,0.3,2.3,2.7,23.5,103,115,0.520095609065156,0.895652173913044,"A"
"305","Tristan Thompson","PF",30,"TOT",57,6,897,7.6,14.4,0.528,0.1,0.2,0.333,7.6,14.3,0.53,3.3,6.3,0.526,6.5,9.1,15.6,1.8,1.2,1.1,2.4,5.3,18.6,112,114,0.541579315164221,0.982456140350877,NA
"306","Matisse Thybulle","SG",24,"PHI",66,50,1685,4.4,8.9,0.5,1.3,4.3,0.313,3.1,4.6,0.673,1,1.3,0.791,1.2,3.2,4.5,2.2,3.4,2.1,1.2,4.7,11.2,116,108,0.591216216216216,1.07407407407407,"A"
"307","Xavier Tillman Sr.","PF",23,"MEM",53,2,701,6.7,14.7,0.454,0.7,3.3,0.204,6,11.4,0.527,3.1,4.8,0.648,4.5,6.5,11,4.2,3.3,1,2.3,4.3,17.2,112,107,0.511539376635736,1.04672897196262,"SW"
"308","Obi Toppin","PF",23,"NYK",72,10,1230,10.2,19.2,0.531,2.1,6.9,0.308,8.1,12.4,0.655,3.8,5,0.758,2.8,8.1,10.9,3.1,1,1.3,2.3,4.1,26.4,120,111,0.616822429906542,1.08108108108108,"A"
"309","Juan Toscano-Anderson","SF",28,"GSW",73,6,994,5.6,11.5,0.489,1.4,4.3,0.322,4.3,7.3,0.588,2,3.4,0.571,1.4,7.3,8.6,6.2,2.4,0.8,3.3,5.6,14.6,106,106,0.561711295783318,1,"P"
"310","Karl-Anthony Towns","C",26,"MIN",74,74,2476,12.3,23.3,0.529,2.9,7,0.41,9.5,16.3,0.58,7.4,9,0.822,3.7,10.2,14,5.2,1.4,1.6,4.3,5.1,34.9,121,110,0.64013206162876,1.1,"NW"
"311","Gary Trent Jr.","SG",23,"TOR",70,69,2448,9.2,22.2,0.414,4.3,11.1,0.383,4.9,11,0.445,3.6,4.2,0.853,0.5,3.4,3.9,2.9,2.5,0.4,1.5,2.9,26.2,114,112,0.544743845642049,1.01785714285714,"A"
"312","P.J. Tucker","PF",36,"MIA",71,70,1981,5.2,10.8,0.484,2,4.9,0.415,3.2,5.9,0.54,1.1,1.5,0.738,2.5,7.2,9.8,3.8,1.5,0.4,1.7,4.1,13.6,120,110,0.593368237347295,1.09090909090909,"SE"
"313","Myles Turner","C",25,"IND",42,42,1235,7.9,15.6,0.509,2.4,7.3,0.333,5.5,8.3,0.662,3.1,4.2,0.752,2.6,9.2,11.8,1.7,1.1,4.7,2.1,4.7,21.4,117,111,0.613250802384227,1.05405405405405,"C"
"314","Jonas Valančiūnas","C",29,"NOP",74,74,2240,11.2,20.7,0.544,1.3,3.5,0.361,10,17.2,0.581,5.2,6.4,0.82,5,13.6,18.6,4.2,0.9,1.3,3.9,5.4,29,118,111,0.616601462833815,1.06306306306306,"SW"
"315","Jarred Vanderbilt","PF",22,"MIN",74,67,1880,5.4,9.1,0.587,0.1,0.4,0.143,5.3,8.8,0.605,2.2,3.3,0.656,5.4,10.3,15.8,2.4,2.5,1.2,1.8,4.6,13,127,108,0.615996967399545,1.17592592592593,"NW"
"316","Fred VanVleet","PG",27,"TOR",65,65,2462,9,22.3,0.403,4.9,13,0.377,4.1,9.2,0.44,3.9,4.5,0.874,0.9,5,5.9,8.8,2.3,0.7,3.5,3.3,26.8,115,111,0.551894563426689,1.03603603603604,"A"
"317","Devin Vassell","SF",21,"SAS",71,32,1937,8.1,18.9,0.427,3.4,9.4,0.361,4.7,9.5,0.492,2.1,2.5,0.838,1.1,6.5,7.6,3.4,1.9,1,1.4,3.5,21.6,109,112,0.54,0.973214285714286,"SW"
"318","Gabe Vincent","PG",25,"MIA",68,27,1589,6.7,16.2,0.417,3.7,10.2,0.368,3,6,0.5,1.4,1.7,0.815,0.7,3.3,4,6.6,2,0.4,3.1,5,18.6,107,111,0.548737314137361,0.963963963963964,"SE"
"319","Nikola Vučević","C",31,"CHI",73,73,2418,11,23.3,0.473,2.1,6.7,0.314,8.9,16.6,0.537,1.9,2.4,0.76,2.9,13.4,16.2,4.8,1.4,1.4,2.7,3.7,26,107,110,0.533749384135326,0.972727272727273,"C"
"320","Dean Wade","PF",25,"CLE",51,28,980,5,11.1,0.456,2.6,7.2,0.359,2.4,3.8,0.64,1,1.5,0.667,1.6,6.1,7.6,2.6,1.5,0.4,0.8,4.5,13.7,122,111,0.582482993197279,1.0990990990991,"C"
"321","Franz Wagner","SF",20,"ORL",79,79,2429,9.1,19.4,0.468,1.9,5.4,0.354,7.2,14,0.511,3.8,4.4,0.863,1.7,5.4,7.1,4.6,1.4,0.7,2.4,3.3,23.8,110,114,0.557742782152231,0.964912280701754,"SE"
"322","Moritz Wagner","C",24,"ORL",63,3,960,9.9,20,0.497,3.3,10.1,0.328,6.6,9.8,0.672,5.2,6.5,0.806,2.1,9.6,11.7,4.4,1,0.7,2.8,6.2,28.4,118,112,0.621172353455818,1.05357142857143,"SE"
"323","Ish Wainright","PF",27,"PHO",45,0,359,5.5,13.9,0.394,2.5,7.9,0.322,2.9,6,0.489,0.9,1.6,0.583,3.6,3.6,7.2,2,2.7,0.8,1.7,6.6,14.5,104,107,0.496439331689948,0.97196261682243,NA
"324","Lonnie Walker IV","SG",23,"SAS",70,6,1612,9.3,22.7,0.407,3.3,10.5,0.314,6,12.2,0.487,3.5,4.4,0.784,0.5,4.9,5.4,4.5,1.3,0.6,2.1,2.9,25.3,103,115,0.513476213671051,0.895652173913044,"SW"
"325","Duane Washington Jr.","PG",21,"IND",48,7,968,8.8,21.6,0.405,4.1,10.9,0.377,4.7,10.7,0.434,2.3,3.1,0.754,0.2,4,4.2,4.3,1.3,0.2,2.9,3.3,23.9,101,119,0.520379724786622,0.848739495798319,"C"
"326","P.J. Washington","C",23,"CHO",65,28,1768,6.8,14.4,0.47,3,8.2,0.365,3.8,6.3,0.606,1.6,2.2,0.716,2.2,6.9,9.1,4,1.5,1.7,2.2,4.1,18.1,114,113,0.588885996876627,1.00884955752212,"SE"
"327","Trendon Watford","SF",21,"POR",48,10,869,8,15,0.532,0.5,2.1,0.237,7.5,12.9,0.581,4,5.3,0.755,3.2,8,11.2,4.6,1.4,1.6,2.5,6.5,20.5,118,116,0.591391645511193,1.01724137931034,"NW"
"328","Russell Westbrook","PG",33,"LAL",78,78,2678,9.8,22.1,0.444,1.4,4.7,0.298,8.4,17.3,0.485,4.8,7.1,0.667,2,8.4,10.4,9.8,1.3,0.4,5.3,4.2,25.8,102,114,0.511417697431018,0.894736842105263,"P"
"329","Coby White","PG",21,"CHI",61,17,1675,8.1,18.8,0.433,4,10.3,0.385,4.2,8.5,0.491,2.3,2.7,0.857,0.5,4.8,5.3,5.1,0.8,0.3,2,4,22.5,111,117,0.562837702621573,0.948717948717949,"C"
"330","Derrick White","SG",27,"TOT",75,52,2199,7.4,17.7,0.421,2.5,8.1,0.312,4.9,9.5,0.515,4.5,5.2,0.864,0.8,4.9,5.8,8.1,1.4,1.3,2.6,3.8,21.9,114,112,0.547828697218331,1.01785714285714,NA
"331","Derrick White","SG",27,"SAS",49,48,1486,7.8,18.4,0.426,2.6,8.3,0.314,5.2,10.1,0.519,4.5,5.2,0.869,0.8,4.8,5.6,8.8,1.6,1.4,2.8,3.7,22.8,114,113,0.551044083526682,1.00884955752212,"SW"
"332","Hassan Whiteside","C",32,"UTA",65,8,1162,9.1,14,0.652,0,0,NA,9.1,14,0.652,4.4,7.1,0.623,7.1,14,21,1.1,0.9,4.4,2.3,7.6,22.7,132,104,0.662812427003037,1.26923076923077,"NW"
"333","Aaron Wiggins","SG",23,"OKC",50,35,1209,6.3,13.6,0.463,1.7,5.6,0.304,4.6,8,0.573,2.5,3.4,0.729,2.1,5.1,7.2,2.7,1.2,0.4,2.2,3.7,16.8,107,116,0.556438791732909,0.922413793103448,"NW"
"334","Andrew Wiggins","SF",26,"GSW",73,73,2329,9.9,21.3,0.466,3.3,8.4,0.393,6.7,13,0.513,3.1,4.9,0.634,1.8,5,6.8,3.4,1.6,1.1,2.3,3.3,26.3,109,109,0.5606241473397,1,"P"
"335","Grant Williams","PF",23,"BOS",77,21,1875,5.4,11.4,0.475,2.8,6.8,0.411,2.6,4.6,0.569,2.3,2.5,0.905,1.7,5.6,7.3,2.1,1,1.5,1.6,4.9,16,122,109,0.64,1.11926605504587,"A"
"336","Kenrich Williams","SF",27,"OKC",49,0,1072,6.6,14.4,0.461,1.9,5.5,0.339,4.8,8.9,0.536,1.4,2.5,0.545,3.4,6.6,10,4.9,2,0.5,2.1,3.7,16.5,111,113,0.532258064516129,0.982300884955752,"NW"
"337","Lou Williams","PG",35,"ATL",56,0,799,7.7,19.7,0.391,2.3,6.3,0.363,5.4,13.4,0.404,4.1,4.8,0.859,1,4.4,5.4,6.5,1.7,0.2,2.6,3,21.8,105,117,0.499724922061251,0.897435897435897,"SE"
"338","Robert Williams","C",24,"BOS",61,61,1804,7.5,10.1,0.736,0,0,0,7.5,10.1,0.738,1.8,2.5,0.722,6.6,9.6,16.2,3.3,1.5,3.7,1.7,3.8,16.7,148,102,0.745535714285714,1.45098039215686,"A"
"339","Ziaire Williams","SF",20,"MEM",62,31,1346,6.8,15.1,0.45,2.7,8.6,0.314,4.1,6.5,0.632,1.5,2,0.782,0.9,3.7,4.6,2.3,1.2,0.4,1.5,4,17.8,113,114,0.556946182728411,0.991228070175439,"SW"
"340","Dylan Windler","SF",25,"CLE",50,0,459,4,10.7,0.378,2.3,7.6,0.3,1.7,3,0.571,1.6,2,0.833,2.3,7.4,9.7,3.7,1.5,0.3,1.7,5.1,12,110,110,0.518134715025907,1,"C"
"341","Justise Winslow","PF",25,"TOT",48,11,774,7,16.2,0.428,0.9,4.2,0.227,6,12.1,0.497,2.5,4.2,0.591,3.2,9.6,12.8,5.3,2.2,1.6,3.1,4.2,17.3,100,109,0.479277482269504,0.91743119266055,NA
"342","Christian Wood","C",26,"HOU",68,67,2094,10,20,0.501,3,7.6,0.39,7,12.3,0.57,4.7,7.5,0.623,2.5,13.1,15.6,3.5,1.2,1.5,2.9,3.9,27.7,114,113,0.594420600858369,1.00884955752212,"SW"
"343","Delon Wright","SG",29,"ATL",77,8,1452,4.1,9.1,0.454,1.5,3.9,0.379,2.6,5.2,0.51,1.8,2.1,0.857,1.7,5.8,7.4,6.4,3.1,0.6,1.5,1.9,11.6,126,112,0.578611332801277,1.125,"SE"
"344","Thaddeus Young","PF",33,"TOT",52,1,845,8.2,15.8,0.518,1,2.8,0.354,7.2,13,0.554,1.3,2.8,0.469,4.6,7.4,12.1,6,3.1,1,3,4.7,18.7,113,108,0.548966651009864,1.0462962962963,NA
"345","Trae Young","PG",23,"ATL",76,76,2652,13.2,28.6,0.46,4.3,11.3,0.382,8.9,17.3,0.512,9.3,10.2,0.904,0.9,4.3,5.3,13.7,1.3,0.1,5.6,2.4,39.9,119,118,0.602937620889749,1.00847457627119,"SE"
"346","Omer Yurtseven","C",23,"MIA",56,12,706,9.2,17.5,0.526,0.1,0.8,0.091,9.1,16.7,0.547,2.7,4.3,0.623,6,14.8,20.8,3.5,1.2,1.4,2.9,6,21.2,112,104,0.546617161716172,1.07692307692308,"SE"
"347","Ivica Zubac","C",24,"LAC",76,76,1852,8.2,13.1,0.626,0,0,NA,8.2,13.1,0.626,4.4,6,0.727,5.7,11.3,17,3.2,1,2,3,5.4,20.8,126,107,0.660736975857687,1.17757009345794,"P"
